GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Living with own grandchildren under 18 years
HC04_EST_VC05,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_MOE_VC05,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC05_EST_VC05,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC05_MOE_VC05,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_EST_VC06,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC06,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC06,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_MOE_VC06,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_EST_VC06,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_MOE_VC06,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC05_EST_VC06,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC05_MOE_VC06,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_EST_VC07,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC07,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC07,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_MOE_VC07,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_EST_VC07,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_MOE_VC07,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC05_EST_VC07,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC05_MOE_VC07,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_EST_VC08,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC08,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC08,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_MOE_VC08,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_EST_VC08,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_MOE_VC08,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC05_EST_VC08,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC05_MOE_VC08,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_EST_VC09,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_MOE_VC09,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_EST_VC09,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_MOE_VC09,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC04_EST_VC09,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC04_MOE_VC09,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC05_EST_VC09,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC05_MOE_VC09,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_EST_VC10,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC10,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC10,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC10,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_EST_VC10,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_MOE_VC10,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_EST_VC10,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_MOE_VC10,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC11,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_MOE_VC11,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_EST_VC11,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_MOE_VC11,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC04_EST_VC11,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC04_MOE_VC11,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC05_EST_VC11,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC05_MOE_VC11,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_EST_VC12,"Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_MOE_VC12,"Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_EST_VC12,"Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_MOE_VC12,"Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_EST_VC12,"Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_MOE_VC12,"Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC05_EST_VC12,"Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC05_MOE_VC12,"Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_EST_VC14,Total; Estimate; Living with own grandchildren under 18 years - SEX - Male
HC01_MOE_VC14,Total; Margin of Error; Living with own grandchildren under 18 years - SEX - Male
HC03_EST_VC14,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - SEX - Male
HC03_MOE_VC14,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - SEX - Male
HC04_EST_VC14,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - SEX - Male
HC04_MOE_VC14,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - SEX - Male
HC05_EST_VC14,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - SEX - Male
HC05_MOE_VC14,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - SEX - Male
HC01_EST_VC15,Total; Estimate; Living with own grandchildren under 18 years - SEX - Female
HC01_MOE_VC15,Total; Margin of Error; Living with own grandchildren under 18 years - SEX - Female
HC03_EST_VC15,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - SEX - Female
HC03_MOE_VC15,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - SEX - Female
HC04_EST_VC15,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - SEX - Female
HC04_MOE_VC15,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - SEX - Female
HC05_EST_VC15,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - SEX - Female
HC05_MOE_VC15,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - SEX - Female
HC01_EST_VC17,Total; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC01_MOE_VC17,Total; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC03_EST_VC17,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC03_MOE_VC17,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC04_EST_VC17,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC04_MOE_VC17,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC05_EST_VC17,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC05_MOE_VC17,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Now married (including separated and spouse absent)
HC01_EST_VC18,"Total; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC01_MOE_VC18,"Total; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC03_EST_VC18,"Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC03_MOE_VC18,"Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC04_EST_VC18,"Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC04_MOE_VC18,"Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC05_EST_VC18,"Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC05_MOE_VC18,"Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - MARITAL STATUS - Unmarried (never married, widowed, and divorced)"
HC01_EST_VC20,Total; Estimate; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC01_MOE_VC20,Total; Margin of Error; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC03_EST_VC20,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC03_MOE_VC20,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC04_EST_VC20,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC04_MOE_VC20,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC05_EST_VC20,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC05_MOE_VC20,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - LABOR FORCE STATUS - In labor force
HC01_EST_VC22,Total; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC01_MOE_VC22,Total; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC03_EST_VC22,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC03_MOE_VC22,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC04_EST_VC22,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC04_MOE_VC22,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC05_EST_VC22,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC05_MOE_VC22,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Native
HC01_EST_VC23,Total; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC01_MOE_VC23,Total; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC03_EST_VC23,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC03_MOE_VC23,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC04_EST_VC23,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC04_MOE_VC23,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC05_EST_VC23,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC05_MOE_VC23,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - CITIZENSHIP STATUS - Foreign born
HC01_EST_VC25,Total; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC01_MOE_VC25,Total; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC03_EST_VC25,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC03_MOE_VC25,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC04_EST_VC25,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC04_MOE_VC25,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC05_EST_VC25,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC05_MOE_VC25,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language
HC01_EST_VC26,"Total; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC01_MOE_VC26,"Total; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC03_EST_VC26,"Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC03_MOE_VC26,"Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC04_EST_VC26,"Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC04_MOE_VC26,"Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC05_EST_VC26,"Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC05_MOE_VC26,"Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English ""very well"""
HC01_EST_VC27,"Total; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English less than ""very well"""
HC01_MOE_VC27,"Total; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English less than ""very well"""
HC03_EST_VC27,"Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English less than ""very well"""
HC03_MOE_VC27,"Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English less than ""very well"""
HC04_EST_VC27,"Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak other language - Speak English less than ""very well"""
