GEO.id,Id
HC03_EST_VC08,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC03_MOE_VC08,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC04_EST_VC08,Foreign born; Entered before 1990; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC04_MOE_VC08,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC01_EST_VC09,Total; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC01_MOE_VC09,Total; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC02_EST_VC09,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC02_MOE_VC09,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC03_EST_VC09,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC03_MOE_VC09,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC04_EST_VC09,Foreign born; Entered before 1990; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC04_MOE_VC09,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC01_EST_VC10,Total; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC01_MOE_VC10,Total; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC02_EST_VC10,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC02_MOE_VC10,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC03_EST_VC10,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC03_MOE_VC10,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC04_EST_VC10,Foreign born; Entered before 1990; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC04_MOE_VC10,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC01_EST_VC11,Total; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC01_MOE_VC11,Total; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC02_EST_VC11,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC02_MOE_VC11,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC03_EST_VC11,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC03_MOE_VC11,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC04_EST_VC11,Foreign born; Entered before 1990; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC04_MOE_VC11,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC01_EST_VC12,Total; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC01_MOE_VC12,Total; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC02_EST_VC12,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC02_MOE_VC12,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC03_EST_VC12,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC03_MOE_VC12,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC04_EST_VC12,Foreign born; Entered before 1990; Estimate; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC04_MOE_VC12,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC01_EST_VC14,Total; Estimate; Foreign-born population - SEX AND AGE - Male
HC01_MOE_VC14,Total; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC02_EST_VC14,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - Male
HC02_MOE_VC14,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC03_EST_VC14,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - Male
HC03_MOE_VC14,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC04_EST_VC14,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - Male
HC04_MOE_VC14,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC01_EST_VC15,Total; Estimate; Foreign-born population - SEX AND AGE - Female
HC01_MOE_VC15,Total; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC02_EST_VC15,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - Female
HC02_MOE_VC15,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC03_EST_VC15,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - Female
HC03_MOE_VC15,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC04_EST_VC15,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - Female
HC04_MOE_VC15,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC01_EST_VC16,Total; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC01_MOE_VC16,Total; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC02_EST_VC16,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC02_MOE_VC16,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC03_EST_VC16,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC03_MOE_VC16,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC04_EST_VC16,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC04_MOE_VC16,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC01_EST_VC17,Total; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC01_MOE_VC17,Total; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC02_EST_VC17,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC02_MOE_VC17,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC03_EST_VC17,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC03_MOE_VC17,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC04_EST_VC17,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC04_MOE_VC17,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC01_EST_VC18,Total; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC01_MOE_VC18,Total; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC02_EST_VC18,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC02_MOE_VC18,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC03_EST_VC18,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC03_MOE_VC18,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC04_EST_VC18,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC04_MOE_VC18,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC01_EST_VC19,Total; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC01_MOE_VC19,Total; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC02_EST_VC19,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC02_MOE_VC19,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC03_EST_VC19,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC03_MOE_VC19,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC04_EST_VC19,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC04_MOE_VC19,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC01_EST_VC20,Total; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC01_MOE_VC20,Total; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC02_EST_VC20,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC02_MOE_VC20,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC03_EST_VC20,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC03_MOE_VC20,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC04_EST_VC20,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC04_MOE_VC20,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC01_EST_VC21,Total; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC01_MOE_VC21,Total; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC02_EST_VC21,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC02_MOE_VC21,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC03_EST_VC21,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC03_MOE_VC21,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC04_EST_VC21,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC04_MOE_VC21,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC01_EST_VC22,Total; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC01_MOE_VC22,Total; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC02_EST_VC22,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC02_MOE_VC22,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC03_EST_VC22,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC03_MOE_VC22,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC04_EST_VC22,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC04_MOE_VC22,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC01_EST_VC23,Total; Estimate; Foreign-born population - SEX AND AGE - 75 to 84 years
HC01_MOE_VC23,Total; Margin of Error; Foreign-born population - SEX AND AGE - 75 to 84 years
HC02_EST_VC23,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 75 to 84 years
HC02_MOE_VC23,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 75 to 84 years
HC03_EST_VC23,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 75 to 84 years
HC03_MOE_VC23,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 75 to 84 years
HC04_EST_VC23,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 75 to 84 years
HC04_MOE_VC23,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 75 to 84 years
HC01_EST_VC24,Total; Estimate; Foreign-born population - SEX AND AGE - 85 years and over
HC01_MOE_VC24,Total; Margin of Error; Foreign-born population - SEX AND AGE - 85 years and over
HC02_EST_VC24,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - 85 years and over
HC02_MOE_VC24,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - 85 years and over
HC03_EST_VC24,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - 85 years and over
HC03_MOE_VC24,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - 85 years and over
HC04_EST_VC24,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - 85 years and over
HC04_MOE_VC24,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - 85 years and over
HC01_EST_VC25,Total; Estimate; Foreign-born population - SEX AND AGE - Median age (years)
HC01_MOE_VC25,Total; Margin of Error; Foreign-born population - SEX AND AGE - Median age (years)
HC02_EST_VC25,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - SEX AND AGE - Median age (years)
HC02_MOE_VC25,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - SEX AND AGE - Median age (years)
HC03_EST_VC25,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - SEX AND AGE - Median age (years)
HC03_MOE_VC25,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - SEX AND AGE - Median age (years)
HC04_EST_VC25,Foreign born; Entered before 1990; Estimate; Foreign-born population - SEX AND AGE - Median age (years)
HC04_MOE_VC25,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - SEX AND AGE - Median age (years)
HC01_EST_VC27,Total; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC27,Total; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC27,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC27,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC27,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_MOE_VC27,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_EST_VC27,Foreign born; Entered before 1990; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_MOE_VC27,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_EST_VC28,Total; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC28,Total; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_EST_VC28,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_MOE_VC28,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC28,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_MOE_VC28,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_EST_VC28,Foreign born; Entered before 1990; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_MOE_VC28,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_EST_VC29,Total; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC29,Total; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_EST_VC29,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_MOE_VC29,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC29,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_MOE_VC29,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_EST_VC29,Foreign born; Entered before 1990; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_MOE_VC29,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_EST_VC30,Total; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC30,Total; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_EST_VC30,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_MOE_VC30,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC30,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_MOE_VC30,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_EST_VC30,Foreign born; Entered before 1990; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_MOE_VC30,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_EST_VC31,Total; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC31,Total; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_EST_VC31,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_MOE_VC31,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC31,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_MOE_VC31,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_EST_VC31,Foreign born; Entered before 1990; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_MOE_VC31,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_EST_VC32,Total; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC32,Total; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_EST_VC32,Foreign born; Entered 2000 or later; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC32,Foreign born; Entered 2000 or later; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC32,Foreign born; Entered 1990 to 1999; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_MOE_VC32,Foreign born; Entered 1990 to 1999; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_EST_VC32,Foreign born; Entered before 1990; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_MOE_VC32,Foreign born; Entered before 1990; Margin of Error; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_EST_VC33,Total; Estimate; Foreign-born population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
