GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC10,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC10,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_EST_VC10,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_MOE_VC10,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC10,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
HC03_MOE_VC10,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
HC04_EST_VC10,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
HC04_MOE_VC10,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
HC01_EST_VC11,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC11,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_EST_VC11,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_MOE_VC11,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC11,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
HC03_MOE_VC11,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
HC04_EST_VC11,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
HC04_MOE_VC11,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
HC01_EST_VC12,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC12,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_EST_VC12,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC12,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC12,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
HC03_MOE_VC12,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
HC04_EST_VC12,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
HC04_MOE_VC12,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
HC01_EST_VC13,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_MOE_VC13,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_EST_VC13,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_MOE_VC13,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_EST_VC13,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
HC03_MOE_VC13,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
HC04_EST_VC13,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
HC04_MOE_VC13,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
HC01_EST_VC14,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC14,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC14,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC14,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC14,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
HC03_MOE_VC14,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
HC04_EST_VC14,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
HC04_MOE_VC14,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
HC01_EST_VC15,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_MOE_VC15,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_EST_VC15,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_MOE_VC15,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_EST_VC15,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)"
HC03_MOE_VC15,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)"
HC04_EST_VC15,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)"
HC04_MOE_VC15,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)"
HC01_EST_VC16,"Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_MOE_VC16,"Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_EST_VC16,"In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_MOE_VC16,"In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_EST_VC16,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_MOE_VC16,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_EST_VC16,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_MOE_VC16,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_EST_VC18,"Total; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC01_MOE_VC18,"Total; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC02_EST_VC18,"In married-couple family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC02_MOE_VC18,"In married-couple family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC03_EST_VC18,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC03_MOE_VC18,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC04_EST_VC18,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC04_MOE_VC18,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Own child (biological, step or adopted)"
HC01_EST_VC19,Total; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild
HC01_MOE_VC19,Total; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild
HC02_EST_VC19,In married-couple family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild
HC02_MOE_VC19,In married-couple family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild
HC03_EST_VC19,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild"
HC03_MOE_VC19,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild"
HC04_EST_VC19,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild"
HC04_MOE_VC19,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Grandchild"
HC01_EST_VC20,Total; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives
HC01_MOE_VC20,Total; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives
HC02_EST_VC20,In married-couple family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives
HC02_MOE_VC20,In married-couple family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives
HC03_EST_VC20,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives"
HC03_MOE_VC20,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives"
HC04_EST_VC20,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives"
HC04_MOE_VC20,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Other relatives"
HC01_EST_VC21,Total; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child
HC01_MOE_VC21,Total; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child
HC02_EST_VC21,In married-couple family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child
HC02_MOE_VC21,In married-couple family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child
HC03_EST_VC21,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child"
HC03_MOE_VC21,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child"
HC04_EST_VC21,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child"
HC04_MOE_VC21,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RELATIONSHIP TO HOUSEHOLDER - Foster child or other unrelated child"
HC01_EST_VC23,Total; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Native
HC01_MOE_VC23,Total; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Native
HC02_EST_VC23,In married-couple family household; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Native
HC02_MOE_VC23,In married-couple family household; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Native
HC03_EST_VC23,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Native"
HC03_MOE_VC23,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Native"
HC04_EST_VC23,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Native"
HC04_MOE_VC23,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Native"
HC01_EST_VC24,Total; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born
HC01_MOE_VC24,Total; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born
HC02_EST_VC24,In married-couple family household; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born
HC02_MOE_VC24,In married-couple family household; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born
HC03_EST_VC24,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born"
HC03_MOE_VC24,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born"
HC04_EST_VC24,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born"
HC04_MOE_VC24,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - CITIZENSHIP STATUS - Foreign born"
HC01_EST_VC26,Total; Estimate; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present
HC01_MOE_VC26,Total; Margin of Error; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present
HC02_EST_VC26,In married-couple family household; Estimate; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present
HC02_MOE_VC26,In married-couple family household; Margin of Error; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present
HC03_EST_VC26,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present"
HC03_MOE_VC26,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present"
HC04_EST_VC26,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present"
HC04_MOE_VC26,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - PRESENCE OF OTHER ADULTS - Unmarried partner of householder present"
HC01_EST_VC28,Total; Estimate; DISABILITY STATUS - Civilian children under 18 years in households
HC01_MOE_VC28,Total; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households
HC02_EST_VC28,In married-couple family household; Estimate; DISABILITY STATUS - Civilian children under 18 years in households
HC02_MOE_VC28,In married-couple family household; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households
HC03_EST_VC28,"In male householder, no wife present, family household; Estimate; DISABILITY STATUS - Civilian children under 18 years in households"
HC03_MOE_VC28,"In male householder, no wife present, family household; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households"
HC04_EST_VC28,"In female householder, no husband present, family household; Estimate; DISABILITY STATUS - Civilian children under 18 years in households"
HC04_MOE_VC28,"In female householder, no husband present, family household; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households"
HC01_EST_VC29,Total; Estimate; DISABILITY STATUS - Civilian children under 18 years in households - With any disability
HC01_MOE_VC29,Total; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households - With any disability
HC02_EST_VC29,In married-couple family household; Estimate; DISABILITY STATUS - Civilian children under 18 years in households - With any disability
HC02_MOE_VC29,In married-couple family household; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households - With any disability
HC03_EST_VC29,"In male householder, no wife present, family household; Estimate; DISABILITY STATUS - Civilian children under 18 years in households - With any disability"
HC03_MOE_VC29,"In male householder, no wife present, family household; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households - With any disability"
HC04_EST_VC29,"In female householder, no husband present, family household; Estimate; DISABILITY STATUS - Civilian children under 18 years in households - With any disability"
HC04_MOE_VC29,"In female householder, no husband present, family household; Margin of Error; DISABILITY STATUS - Civilian children under 18 years in households - With any disability"
HC01_EST_VC31,Total; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households
HC01_MOE_VC31,Total; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households
HC02_EST_VC31,In married-couple family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households
HC02_MOE_VC31,In married-couple family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households
HC03_EST_VC31,"In male householder, no wife present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households"
HC03_MOE_VC31,"In male householder, no wife present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households"
HC04_EST_VC31,"In female householder, no husband present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households"
HC04_MOE_VC31,"In female householder, no husband present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households"
HC01_EST_VC32,Total; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school
HC01_MOE_VC32,Total; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school
HC02_EST_VC32,In married-couple family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school
HC02_MOE_VC32,In married-couple family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school
HC03_EST_VC32,"In male householder, no wife present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school"
HC03_MOE_VC32,"In male householder, no wife present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school"
HC04_EST_VC32,"In female householder, no husband present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school"
HC04_MOE_VC32,"In female householder, no husband present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school"
HC01_EST_VC33,Total; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public
HC01_MOE_VC33,Total; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public
HC02_EST_VC33,In married-couple family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public
HC02_MOE_VC33,In married-couple family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public
HC03_EST_VC33,"In male householder, no wife present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public"
HC03_MOE_VC33,"In male householder, no wife present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public"
HC04_EST_VC33,"In female householder, no husband present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public"
HC04_MOE_VC33,"In female householder, no husband present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Public"
HC01_EST_VC34,Total; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private
HC01_MOE_VC34,Total; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private
HC02_EST_VC34,In married-couple family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private
HC02_MOE_VC34,In married-couple family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private
HC03_EST_VC34,"In male householder, no wife present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private"
HC03_MOE_VC34,"In male householder, no wife present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private"
HC04_EST_VC34,"In female householder, no husband present, family household; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private"
HC04_MOE_VC34,"In female householder, no husband present, family household; Margin of Error; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Enrolled in school - Private"
HC01_EST_VC35,Total; Estimate; SCHOOL ENROLLMENT - Children 3 to 17 years in households - Not enrolled in school
